Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NOK,Nokia Corporation Sponsored American Depositary Shares,$4.82,0.01,0.208%,27128689888.00,Finland,1994,30701079,Technology,Radio And Television Broadcasting And Communications Equipment
NOW,ServiceNow Inc. Common Stock,$496.70,-7.39,-1.466%,99568423389.00,United States,2012,1127243,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$67.27,0.46,0.689%,14879479822.00,United States,1995,1452833,Technology,Electronic Components
NVDA,NVIDIA Corporation Common Stock,$168.69,-2.57,-1.501%,421725000000.00,United States,1999,42775259,Technology,Semiconductors
NXPI,NXP Semiconductors N.V. Common Stock,$158.86,-0.46,-0.289%,41711042539.00,Netherlands,2010,2502601,Technology,Semiconductors
OKTA,Okta Inc. Class A Common Stock,$97.26,-4.00,-3.95%,15345609758.00,United States,2017,2420707,Technology,EDP Services
ON,ON Semiconductor Corporation Common Stock,$54.17,1.20,2.265%,23537171765.00,United States,,6439427,Technology,Semiconductors
ORAN,Orange,$11.76,-0.03,-0.254%,31267109105.00,France,,666565,Telecommunications,Telecommunications Equipment
ORCL,Oracle Corporation Common Stock,$70.41,-0.29,-0.41%,187637439660.00,United States,1986,8840581,Technology,Computer Software: Prepackaged Software
PANW,Palo Alto Networks Inc. Common Stock,$501.88,-8.83,-1.729%,50005009533.00,United States,,1484301,Technology,EDP Services
PATH,UiPath Inc. Class A Common Stock,$21.36,-0.56,-2.555%,11635480476.00,,2021,7818683,Technology,Computer Software: Prepackaged Software
PAYC,Paycom Software Inc. Common Stock,$300.08,-6.45,-2.104%,18081020020.00,,2014,314232,Technology,Computer Software: Prepackaged Software
PCTY,Paylocity Holding Corporation Common Stock,$185.05,-0.17,-0.092%,10200837023.00,United States,2014,266076,Technology,Computer Software: Prepackaged Software
PINS,Pinterest Inc. Class A Common Stock,$20.73,-0.74,-3.447%,13754042993.00,,2019,20582750,Technology,Interactive Media
PLTR,Palantir Technologies Inc. Class A Common Stock,$9.62,-0.57,-5.594%,19688238686.00,,2020,44730119,Technology,Retail: Computer Software & Peripheral Equipment
PTC,PTC Inc. Common Stock,$112.19,-0.25,-0.222%,13123531157.00,United States,,379376,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,$127.18,2.08,1.663%,142441600000.00,United States,1991,9930522,Technology,Computer peripheral equipment
RBLX,Roblox Corporation Class A Common Stock,$35.93,-0.49,-1.345%,21313442132.00,,2021,29715834,Technology,EDP Services
ROKU,Roku Inc. Class A Common Stock,$94.75,-4.02,-4.07%,12883390964.00,United States,2017,7528380,Telecommunications,Cable & Other Pay Television Services
SAP,SAP  SE ADS,$97.30,-1.11,-1.128%,114773069782.00,Germany,,835710,Technology,EDP Services
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,$75.05,-5.42,-6.735%,42158433898.00,United States,2017,5997092,Technology,Computer Software: Prepackaged Software
SEDG,SolarEdge Technologies Inc. Common Stock,$298.52,12.18,4.254%,16534212318.00,Israel,2015,949706,Technology,Semiconductors
SNAP,Snap Inc. Class A Common Stock,$14.56,-0.14,-0.952%,23824881866.00,United States,2017,29246663,Technology,Internet and Information Services
SNOW,Snowflake Inc. Class A Common Stock,$148.15,-3.38,-2.231%,47126515000.00,United States,2020,7269701,Technology,Computer Software: Prepackaged Software
SNPS,Synopsys Inc. Common Stock,$311.86,-5.61,-1.767%,47705301853.00,United States,1992,750273,Technology,EDP Services
SPLK,Splunk Inc. Common Stock,$97.51,-0.35,-0.358%,15689359000.00,United States,2012,2292502,Technology,Computer Software: Prepackaged Software
SQ,Block Inc. Class A Common Stock,$69.43,-1.57,-2.211%,40304389804.00,United States,2015,14683629,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$60.42,-0.24,-0.396%,15393862220.00,United States,2010,1290682,Technology,EDP Services
STM,STMicroelectronics N.V. Common Stock,$33.47,-0.37,-1.093%,30231207974.00,Switzerland,,2649893,Technology,Semiconductors
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$74.21,0.06,0.081%,15943570939.00,Ireland,2002,1046098,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$98.09,0.06,0.061%,15785244484.00,United States,,2302210,Technology,Semiconductors
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,$202.21,-3.11,-1.515%,51257556729.00,United Kingdom,2015,2128949,Technology,Computer Software: Prepackaged Software
TEF,Telefonica SA Common Stock,$5.02,-0.01,-0.199%,28991692521.00,Spain,1988,1381701,Telecommunications,Telecommunications Equipment
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,$117.55,-0.84,-0.71%,37871532423.00,Switzerland,,1819606,Technology,Electronic Components
TLK,PT Telekomunikasi Indonesia Tbk,$27.59,0.00,0.00%,27331265560.00,Indonesia,,155746,Telecommunications,Telecommunications Equipment
TMUS,T-Mobile US Inc. Common Stock,$136.54,-0.54,-0.394%,171164473098.00,United States,,3774131,Telecommunications,Telecommunications Equipment
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$85.86,-0.06,-0.07%,445252675609.00,Taiwan,1997,7356130,Technology,Semiconductors
TTD,The Trade Desk Inc. Class A Common Stock,$47.84,-1.65,-3.334%,23265825841.00,United States,2016,3571633,Technology,EDP Services
TTWO,Take-Two Interactive Software Inc. Common Stock,$129.21,-4.41,-3.30%,20947501167.00,United States,1997,2489991,Technology,Computer Software: Prepackaged Software
TWTR,Twitter Inc. Common Stock,$39.19,-0.22,-0.558%,29948241163.00,,2013,7140590,Technology,EDP Services
TXN,Texas Instruments Incorporated Common Stock,$155.62,-0.33,-0.212%,143502468959.00,United States,,5762343,Technology,Semiconductors
TYL,Tyler Technologies Inc. Common Stock,$341.70,-3.63,-1.051%,14171561582.00,United States,,194463,Technology,Computer Software: Prepackaged Software
U,Unity Software Inc. Common Stock,$44.36,-2.45,-5.234%,13131136813.00,United States,2020,7781453,Technology,Retail: Computer Software & Peripheral Equipment
UBER,Uber Technologies Inc. Common Stock,$22.86,-0.17,-0.738%,44889273384.00,,2019,27147685,Technology,EDP Services
UI,Ubiquiti Inc. Common Stock,$262.75,-1.34,-0.507%,15874925404.00,United States,,39766,Technology,Radio And Television Broadcasting And Communications Equipment
UMC,United Microelectronics Corporation (NEW) Common Stock,$7.32,-0.03,-0.408%,18273648000.00,Taiwan,,7759112,Technology,Semiconductors
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),$8.99,0.05,0.559%,15054470343.00,Brazil,2020,669492,Telecommunications,Telecommunications Equipment
VMW,Vmware Inc. Common stock Class A,$117.66,-0.30,-0.254%,49587263646.00,United States,2007,809641,Technology,Computer Software: Prepackaged Software
VOD,Vodafone Group Plc American Depositary Shares,$15.74,0.08,0.511%,44111795473.00,United Kingdom,,3800379,Telecommunications,Telecommunications Equipment
VRSN,VeriSign Inc. Common Stock,$168.85,-0.42,-0.248%,18496638805.00,United States,1998,477469,Technology,EDP Services
VZ,Verizon Communications Inc. Common Stock,$50.96,0.00,0.00%,214013843003.00,United States,,16972475,Telecommunications,Telecommunications Equipment
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$14.08,-0.20,-1.401%,34169969222.00,United States,,19433578,Telecommunications,Cable & Other Pay Television Services
WDAY,Workday Inc. Class A Common Stock,$148.05,-4.00,-2.631%,37604700000.00,United States,,4139281,Technology,Computer Software: Prepackaged Software
WDC,Western Digital Corporation Common Stock,$47.58,0.51,1.083%,14900524780.00,United States,,4216227,Technology,Electronic Components
WIT,Wipro Limited Common Stock,$5.45,-0.04,-0.729%,29792893220.00,India,,3038017,Technology,EDP Services
ZBRA,Zebra Technologies Corporation Class A Common Stock,$309.83,0.92,0.298%,16270359019.00,United States,1991,335601,Technology,Computer peripheral equipment
ZI,ZoomInfo Technologies Inc Common Stock,$36.45,-1.26,-3.341%,14703663806.00,United States,2020,8594079,Technology,Computer Software: Prepackaged Software
ZM,Zoom Video Communications Inc. Class A Common Stock,$119.82,-2.82,-2.299%,35751637222.00,United States,2019,3454971,Technology,Computer Software: Prepackaged Software
ZS,Zscaler Inc. Common Stock,$164.23,-6.59,-3.858%,23298110400.00,United States,2018,1895714,Technology,EDP Services
